vowel,case,setting,mSTFT,LSD_dB,HNR_frame_dB,HNR_ref_dB,delta_LSD,delta_HNR,run_id
a,discret,baseline,1.054742455482483,5.691303253173828,8.446714401245117,8.439098358154297,0.045917510986328125,-0.0025348663330078125,main
a,discret,"Nx192,CFL0.7",1.227271318435669,6.609596252441406,8.447609901428223,8.439098358154297,0.9642105102539062,-0.0016393661499023438,main
a,discret,"Nx320,CFL0.9,β14",1.3029372692108154,6.943199634552002,8.451189041137695,8.439098358154297,1.297813892364502,0.0019397735595703125,main
a,source,baseline,1.058536171913147,5.699115753173828,8.44807243347168,8.439098358154297,0.053730010986328125,-0.0011768341064453125,main
a,source,"Oq0.50,Cq0.25",1.4290449619293213,7.451999187469482,8.450163841247559,8.439098358154297,1.8066134452819824,0.0009145736694335938,main
a,source,"Oq0.70,Cq0.40",0.794227659702301,4.461797714233398,8.438251495361328,8.439098358154297,-1.1835880279541016,-0.010997772216796875,main
a,f0,baseline,1.0558067560195923,5.672111511230469,8.449601173400879,8.439098358154297,0.02672576904296875,0.00035190582275390625,main
a,f0,f0-10%,1.010145902633667,6.498863697052002,7.533549785614014,8.439098358154297,0.853477954864502,-0.9156994819641113,main
a,f0,f0+10%,1.0178344249725342,6.424302577972412,8.80648136138916,8.439098358154297,0.7789168357849121,0.35723209381103516,main
i,discret,baseline,0.7739622592926025,4.556198596954346,9.225760459899902,9.224676132202148,-0.02482128143310547,0.016409873962402344,main
i,discret,"Nx192,CFL0.7",0.8004328012466431,4.771465301513672,9.233200073242188,9.224676132202148,0.1904454231262207,0.0238494873046875,main
i,discret,"Nx320,CFL0.9,β14",0.7856420278549194,4.682371139526367,9.232656478881836,9.224676132202148,0.10135126113891602,0.023305892944335938,main
i,source,baseline,0.7708920836448669,4.5423431396484375,9.230144500732422,9.224676132202148,-0.03867673873901367,0.020793914794921875,main
i,source,"Oq0.50,Cq0.25",0.8370481729507446,4.789809703826904,9.143461227416992,9.224676132202148,0.20878982543945312,-0.06588935852050781,main
i,source,"Oq0.70,Cq0.40",0.8691853284835815,5.007415771484375,9.17054271697998,9.224676132202148,0.42639589309692383,-0.03880786895751953,main
i,f0,baseline,0.77240389585495,4.549789905548096,9.225897789001465,9.224676132202148,-0.03122997283935547,0.016547203063964844,main
i,f0,f0-10%,1.0617575645446777,6.839967250823975,8.809040069580078,9.224676132202148,2.2589473724365234,-0.4003105163574219,main
i,f0,f0+10%,1.0486721992492676,6.766491889953613,9.60998249053955,9.224676132202148,2.185472011566162,0.4006319046020508,main
u,discret,baseline,0.9449690580368042,5.267871856689453,7.801358222961426,7.901158809661865,0.02897930145263672,0.005125522613525391,main
u,discret,"Nx192,CFL0.7",0.899007260799408,5.076544284820557,7.802443981170654,7.901158809661865,-0.16234827041625977,0.006211280822753906,main
u,discret,"Nx320,CFL0.9,β14",0.8554674386978149,4.854605674743652,7.81656551361084,7.901158809661865,-0.38428688049316406,0.020332813262939453,main
u,source,baseline,0.9540795087814331,5.307522773742676,7.801107406616211,7.901158809661865,0.06863021850585938,0.004874706268310547,main
u,source,"Oq0.50,Cq0.25",0.8720334768295288,4.930741786956787,7.846072196960449,7.901158809661865,-0.3081507682800293,0.04983949661254883,main
u,source,"Oq0.70,Cq0.40",1.0849943161010742,5.920223712921143,7.800611972808838,7.901158809661865,0.6813311576843262,0.0043792724609375,main
u,f0,baseline,0.9414395093917847,5.240617275238037,7.795198440551758,7.901158809661865,0.0017247200012207031,-0.0010342597961425781,main
u,f0,f0-10%,1.1280791759490967,7.013413429260254,7.167881011962891,7.901158809661865,1.7745208740234375,-0.6283516883850098,main
u,f0,f0+10%,0.9868904948234558,6.546189308166504,8.358253479003906,7.901158809661865,1.3072967529296875,0.5620207786560059,main
